PL;Player Name;Team Position;7M G/S;7M Accuracy;6M G/S;6M Accuracy;9M G/S;9M Accuracy;Wing G/S;Wing Accuracy;Pivot G/S;Pivot Accuracy;Fastbreak G/S;Fastbreak Accuracy
4596;Marsenic, Mijajlo;BER, P;0/0;-;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-
4597;Weiss, Dominik;TVB, LB;0/0;-;2/2;100%;0/2;0%;0/0;-;0/0;-;1/1;100%
4598;Zieker, Patrick;TVB, LW;1/1;100%;0/1;0%;0/0;-;1/2;50%;0/0;-;1/3;33.33%
4599;Lonn, Adam;TVB, LB;0/0;-;0/3;0%;3/7;42.86%;0/0;-;0/0;-;0/0;-
4600;Schulze, Alexander;TVB, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;1/1;100%
4601;Koch, Johan;BER, P;0/0;-;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-
4602;Drux, Paul;BER, LB;0/0;-;2/2;100%;0/2;0%;0/0;-;0/0;-;0/0;-
4603;Hafner, Max;TVB, CB;0/0;-;0/0;-;2/4;50%;0/0;-;0/0;-;0/0;-
4604;Pfattheicher, Sascha;TVB, RW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
4605;Hanusz, Egon;TVB, CB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
4606;Rothlisberger, Samuel;TVB, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
4607;Chrintz, Valter;BER, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%
4608;Augustinussen, Sebastian;TVB, RW;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-
4609;Langhoff, Matthes;BER, LB;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-;0/0;-
4610;Wiede, Fabian;BER, RB;0/0;-;1/2;50%;0/1;0%;0/0;-;0/0;-;0/0;-
4611;Vujovic, Milos;BER, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4612;Morros de Argila, Viran;BER, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4613;Andersson, Lasse Bredekjaer;BER, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4614;Runarsson, Andri Mar;TVB, CB;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-;0/0;-
4615;Peshevski, Zarko;TVB, P;0/0;-;0/1;0%;0/0;-;0/0;-;0/1;0%;0/0;-
4616;Axmann, Dominik;HSV, LB;0/0;-;1/1;100%;5/7;71.43%;0/0;-;0/0;-;0/0;-
4617;Mortensen, Casper Ulrich;HSV, LW;4/6;66.67%;0/0;-;0/1;0%;1/1;100%;0/0;-;1/1;100%
4618;Holst, Maximilian;WET, LW;4/5;80%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4619;Mellegard, Emil;WET, LW;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-;2/2;100%
4620;Rubin, Lenny;WET, LB;0/0;-;3/4;75%;1/4;25%;0/0;-;0/0;-;0/0;-
4621;Danner, Felix;WET, P;0/0;-;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-
4622;Bergemann, Thies;HSV, RW;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-;1/1;100%
4623;Weller, Niklas;HSV, P;0/0;-;0/0;-;0/0;-;0/0;-;3/4;75%;0/0;-
4624;Valiullin, Azat;HSV, LB;0/0;-;0/0;-;2/2;100%;0/0;-;0/0;-;0/0;-
4625;Forsell Schefvert, Olle;WET, LB;0/0;-;1/1;100%;1/1;100%;0/0;-;0/0;-;0/0;-
4626;Nyfjall, Adam;WET, P;0/0;-;0/0;-;0/0;-;0/0;-;1/2;50%;1/1;100%
4627;Weissgerber, Lars;WET, RW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;1/3;33.33%
4628;Novak, Domen;WET, RW;0/0;-;0/0;-;0/0;-;2/4;50%;0/0;-;0/0;-
4629;Bauer, Philipp;HSV, CB;0/0;-;2/3;66.67%;0/2;0%;0/0;-;0/0;-;0/0;-
4630;Srsen, Ivan;WET, RB;0/0;-;2/3;66.67%;0/2;0%;0/0;-;0/0;-;0/0;-
4631;Schimmelbauer, Tobias;HSV, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%
4632;Tissier, Leif;HSV, CB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
4633;Fredriksen, Magnus;WET, CB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
4634;Theilinger, Nicolai;HSV, RB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;1/2;50%
4635;Forstbauer, Jan;HSV, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4636;Mirkulovski, Filip;WET, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4637;Ossenkopp, Lukas;HSV, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4638;Wullenweber, Finn;HSV, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4639;Kleineidam, Jan;HSV, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4640;Kusan, Tomislav;WET, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4641;Feld, Alexander;WET, CB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
4642;Cavor, Stefan;WET, RB;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-;0/0;-
4643;Spath, Manuel;HSV, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/1;0%
4644;Elisson, Bjarki Mar;TBV, LW;4/4;100%;0/0;-;0/0;-;2/2;100%;1/1;100%;1/1;100%
4645;Stutzke, Lukas;BHC, LB;0/0;-;4/4;100%;2/4;50%;0/0;-;0/0;-;0/0;-
4646;Guardiola Villaplana, Gedeon;TBV, P;0/0;-;0/0;-;0/0;-;0/0;-;4/4;100%;1/1;100%
4647;Gunnarsson, Arnor Thor;BHC, RW;0/0;-;1/1;100%;0/0;-;3/3;100%;0/0;-;0/0;-
4648;Schonningsen, Simen Nicolay;BHC, RB;0/0;-;2/2;100%;2/2;100%;0/0;-;0/0;-;0/0;-
4649;Boomhouwer, Jeffrey;BHC, LW;0/0;-;0/0;-;0/1;0%;3/4;75%;0/0;-;2/2;100%
4650;Suton, Tim;TBV, CB;0/0;-;0/0;-;5/7;71.43%;0/0;-;0/0;-;0/1;0%
4651;Cederholm, Andreas;TBV, RB;0/0;-;2/3;66.67%;3/7;42.86%;0/0;-;0/0;-;0/0;-
4652;Darj, Max;BHC, P;0/0;-;0/1;0%;0/1;0%;0/0;-;3/3;100%;0/0;-
4653;Arnesson, Linus;BHC, LB;2/3;66.67%;1/1;100%;0/1;0%;0/0;-;0/1;0%;0/0;-
4654;Weck, Alexander;BHC, LB;0/0;-;0/0;-;2/4;50%;0/0;-;0/0;-;0/0;-
4655;Nikolaisen Svegard, Tom Kare;BHC, P;0/0;-;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/1;0%
4656;Simak, Frederik;TBV, LB;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
4657;Zerbe, Lukas;TBV, RW;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-
4658;Babak, Tomas;BHC, CB;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-
4659;Carlsbogard, Jonathan;TBV, LB;0/0;-;0/1;0%;1/5;20%;0/0;-;0/0;-;0/0;-
4660;Schagen, Bobby;TBV, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4661;Szucs, Csaba;BHC, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4662;Damm, Sebastian;BHC, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4663;Guardiola Villaplana, Isaias;TBV, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4664;Hansson, Emil;BHC, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4665;Fraatz, Yannick;BHC, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4666;Bergner, Tom;BHC, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4667;Reitemann, Michel;TBV, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4668;Schwarzer, Kian;TBV, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4669;Blaauw, Niko;TBV, CB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;0/0;-
4670;Ivic, Sime;LEI, RB;2/2;100%;1/2;50%;1/3;33.33%;0/0;-;0/0;-;1/1;100%
4671;Hafner, Kai;MTM, RB;0/0;-;4/5;80%;1/3;33.33%;0/0;-;0/0;-;0/1;0%
4672;Larsen, Patrick Wiesmach;LEI, RW;0/0;-;0/0;-;0/0;-;1/1;100%;1/1;100%;2/3;66.67%
4673;Gomes, Andre;MTM, LB;0/0;-;0/0;-;3/4;75%;0/0;-;1/1;100%;0/0;-
4674;Kastening, Timo;MTM, RW;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-;1/1;100%
4675;Kuhn, Julius;MTM, LB;0/0;-;2/3;66.67%;1/5;20%;0/0;-;0/0;-;0/0;-
4676;Milosevic, Alen;LEI, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
4677;Gebala, Maciej;LEI, P;0/0;-;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-
4678;Reichmann, Tobias;MTM, RW;2/4;50%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4679;Sunnefeldt, Oskar;LEI, LB;0/0;-;1/2;50%;1/2;50%;0/0;-;0/0;-;0/0;-
4680;Ernst, Simon;LEI, CB;0/0;-;0/0;-;2/4;50%;0/0;-;0/1;0%;0/0;-
4681;Jonsson, Elvar Orn;MTM, CB;0/0;-;1/2;50%;1/3;33.33%;0/0;-;0/0;-;0/0;-
4682;Binder, Lukas;LEI, LW;0/0;-;0/0;-;0/0;-;1/3;33.33%;1/2;50%;0/1;0%
4683;Allendorf, Michael;MTM, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
4684;Kunkel, Yves;MTM, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
4685;Kalarash, Gleb;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
4686;Esche, Marc;LEI, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%
4687;Honicke, Jonas;LEI, CB;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-
4688;Mamic, Marko;LEI, LB;0/0;-;0/0;-;0/3;0%;0/0;-;0/1;0%;1/1;100%
4689;Petersson, Alexander;MTM, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4690;Maric, Marino;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4691;Krzikalla, Lucas;LEI, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4692;Arnarsson, Arnar Freyr;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4693;Kuntscher, David;MTM, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4694;Horr, Manuel;MTM, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4695;Remke, Gregor;LEI, RB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
4696;Muller, Jerome;TVB, RB;0/0;-;5/6;83.33%;3/4;75%;0/0;-;0/0;-;1/1;100%
4697;Arnesson, Linus;BHC, LB;3/3;100%;3/4;75%;2/2;100%;0/0;-;0/0;-;0/0;-
4698;Gunnarsson, Arnor Thor;BHC, RW;0/0;-;0/0;-;0/0;-;4/6;66.67%;0/0;-;1/2;50%
4699;Lonn, Adam;TVB, LB;0/0;-;1/3;33.33%;3/4;75%;0/0;-;0/0;-;1/1;100%
4700;Boomhouwer, Jeffrey;BHC, LW;0/0;-;0/0;-;0/0;-;4/4;100%;0/0;-;0/0;-
4701;Kristjansson, Viggo;TVB, RB;1/1;100%;2/3;66.67%;1/2;50%;0/0;-;0/0;-;0/0;-
4702;Zieker, Patrick;TVB, LW;0/0;-;0/0;-;0/0;-;3/6;50%;0/0;-;1/1;100%
4703;Babak, Tomas;BHC, CB;0/0;-;3/3;100%;0/3;0%;0/0;-;0/0;-;0/0;-
4704;Peshevski, Zarko;TVB, P;0/0;-;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-
4705;Augustinussen, Sebastian;TVB, RW;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-;0/0;-
4706;Schonningsen, Simen Nicolay;BHC, RB;0/0;-;2/5;40%;0/0;-;0/0;-;0/0;-;0/0;-
4707;Stutzke, Lukas;BHC, LB;0/0;-;1/2;50%;1/5;20%;0/0;-;0/0;-;0/0;-
4708;Szucs, Csaba;BHC, CB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
4709;Nikolaisen Svegard, Tom Kare;BHC, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
4710;Hafner, Max;TVB, CB;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-
4711;Pfattheicher, Sascha;TVB, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4712;Damm, Sebastian;BHC, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4713;Darj, Max;BHC, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4714;Hansson, Emil;BHC, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4715;Rothlisberger, Samuel;TVB, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4716;Bergner, Tom;BHC, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4717;Schulze, Alexander;TVB, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4718;Nicolaus, Fynn-Luca;TVB, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4719;Runarsson, Andri Mar;TVB, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4720;Weiss, Dominik;TVB, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%
4721;Weck, Alexander;BHC, LB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
4722;Magnusson, Omar Ingi;SCM, RB;6/6;100%;4/4;100%;4/10;40%;0/0;-;0/0;-;1/1;100%
4723;Pettersson, Daniel;SCM, RW;0/0;-;0/0;-;0/0;-;6/6;100%;1/1;100%;1/1;100%
4724;Elisson, Bjarki Mar;TBV, LW;3/3;100%;0/1;0%;0/0;-;1/2;50%;0/0;-;3/4;75%
4725;Suton, Tim;TBV, CB;0/0;-;6/6;100%;1/6;16.67%;0/0;-;0/0;-;0/0;-
4726;Gullerud, Magnus;SCM, P;0/0;-;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-
4727;Jensen, Magnus Saugstrup;SCM, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;2/2;100%
4728;Weber, Philipp;SCM, CB;0/0;-;1/1;100%;2/2;100%;0/0;-;0/0;-;0/0;-
4729;Guardiola Villaplana, Isaias;TBV, RB;0/0;-;2/3;66.67%;0/0;-;0/0;-;0/0;-;1/1;100%
4730;Kristjansson, Gisli Thorgeir;SCM, CB;0/0;-;3/5;60%;0/0;-;0/0;-;0/0;-;0/0;-
4731;Mertens, Lukas;SCM, LW;0/0;-;0/2;0%;0/0;-;2/3;66.67%;0/0;-;1/1;100%
4732;Cederholm, Andreas;TBV, RB;0/0;-;2/3;66.67%;1/3;33.33%;0/0;-;0/0;-;0/0;-
4733;Bezjak, Marko;SCM, CB;0/0;-;1/1;100%;1/1;100%;0/0;-;0/0;-;0/0;-
4734;Carlsbogard, Jonathan;TBV, LB;0/0;-;1/2;50%;0/2;0%;0/0;-;0/0;-;1/1;100%
4735;O'Sullivan, Christian;SCM, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%
4736;Zerbe, Lukas;TBV, RW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/1;0%
4737;Guardiola Villaplana, Gedeon;TBV, P;0/0;-;0/2;0%;0/0;-;0/0;-;1/2;50%;0/0;-
4738;Simak, Frederik;TBV, LB;0/0;-;0/0;-;0/1;0%;0/0;-;0/2;0%;1/1;100%
4739;Schagen, Bobby;TBV, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4740;Musche, Matthias;SCM, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4741;Damgaard Nielsen, Michael;SCM, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4742;Kirsten Evert Smits, Kay;SCM, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4743;Chrapkowski, Piotr;SCM, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4744;Reitemann, Michel;TBV, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4745;Blaauw, Niko;TBV, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4746;Schwarzer, Kian;TBV, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4747;Duvnjak, Domagoj;THW, CB;0/0;-;1/2;50%;2/2;100%;0/0;-;0/0;-;3/3;100%
4748;Ekberg, Niclas;THW, RW;4/5;80%;2/2;100%;0/0;-;0/0;-;0/0;-;1/1;100%
4749;Olsson, Hampus;HCE, RW;0/0;-;0/0;-;0/0;-;5/6;83.33%;0/0;-;0/0;-
4750;Jeppsson, Simon;HCE, LB;1/1;100%;0/0;-;4/8;50%;0/0;-;0/0;-;0/0;-
4751;Firnhaber, Sebastian;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;4/5;80%;0/0;-
4752;Sagosen, Sander;THW, CB;0/0;-;2/3;66.67%;2/4;50%;0/0;-;0/0;-;0/0;-
4753;Wiencek, Patrick;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-
4754;Budel, Nico;HCE, CB;0/0;-;3/4;75%;0/0;-;0/0;-;0/0;-;0/0;-
4755;Reinkind, Harald;THW, RB;0/0;-;1/1;100%;2/4;50%;0/0;-;0/0;-;0/0;-
4756;Overby, Petter;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;3/5;60%;0/0;-
4757;Horak, Pavel;THW, LB;0/0;-;0/0;-;1/1;100%;0/0;-;1/1;100%;0/0;-
4758;Landin Jacobsen, Magnus;THW, LW;0/0;-;0/0;-;0/0;-;1/1;100%;1/1;100%;0/0;-
4759;Pekeler, Hendrik;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-
4760;Zarabec, Miha;THW, CB;0/0;-;1/1;100%;1/2;50%;0/0;-;0/0;-;0/0;-
4761;Weinhold, Steffen;THW, RB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;2/2;100%
4762;Metzner, Antonio;HCE, RB;0/0;-;1/2;50%;1/3;33.33%;0/0;-;0/0;-;0/0;-
4763;Bissel, Christopher;HCE, LW;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-
4764;Steinert, Christoph;HCE, RB;1/1;100%;0/1;0%;0/3;0%;0/0;-;0/0;-;0/0;-
4765;Fath, Steffen;HCE, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4766;Link, Nikolai;HCE, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4767;von Gruchalla, Florian;HCE, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4768;Jaeger, Max;HCE, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4769;Bilyk, Nikola;THW, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4770;Ciudad Benitez, Leon;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4771;Leban, Patrik;HCE, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
4772;Ehrig, Sven;THW, RW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
4773;Zechel, Tim;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;0/2;0%;0/0;-
4774;Schluroff, Miro;GWD, LB;0/0;-;3/4;75%;5/6;83.33%;0/0;-;0/0;-;0/0;-
4775;Jakobsen, Emil;SGF, LW;3/4;75%;0/0;-;0/0;-;4/4;100%;0/0;-;0/0;-
4776;Darmoul, Mohamed Amine;GWD, CB;2/2;100%;1/2;50%;4/4;100%;0/0;-;0/0;-;0/0;-
4777;Wanne, Hampus;SGF, LW;3/5;60%;1/1;100%;0/0;-;1/1;100%;0/0;-;1/1;100%
4778;Golla, Johannes;SGF, P;0/0;-;0/0;-;0/0;-;0/0;-;4/4;100%;0/0;-
4779;Kranzmann, Florian;GWD, LW;0/0;-;0/0;-;1/2;50%;0/1;0%;0/0;-;3/3;100%
4780;Gottfridsson, Jim;SGF, CB;0/0;-;0/0;-;3/4;75%;0/0;-;0/0;-;0/0;-
4781;Urban, Tomas;GWD, RW;0/1;0%;0/0;-;0/0;-;3/3;100%;0/0;-;0/0;-
4782;Pieczkowski, Niclas;GWD, CB;0/0;-;1/3;33.33%;2/2;100%;0/0;-;0/0;-;0/0;-
4783;Steinhauser, Marius;SGF, RW;0/0;-;0/1;0%;0/0;-;1/2;50%;1/1;100%;1/1;100%
4784;Larsen, Mads Mensah;SGF, CB;0/0;-;1/1;100%;2/4;50%;0/0;-;0/0;-;0/0;-
4785;Zeitz, Christian;GWD, RB;0/0;-;0/2;0%;3/6;50%;0/0;-;0/0;-;0/0;-
4786;Svan, Lasse Hansen;SGF, RW;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-;0/0;-
4787;Sogard, Goran;SGF, LB;0/0;-;0/0;-;2/3;66.67%;0/0;-;0/0;-;0/0;-
4788;Grebenc, Jan;GWD, LB;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-
4789;Meister, Lucas;GWD, P;0/0;-;1/1;100%;0/1;0%;0/0;-;0/0;-;0/0;-
4790;Holzhacker, Paul;GWD, RW;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-
4791;Semper, Franz;SGF, RB;0/0;-;0/1;0%;1/2;50%;0/0;-;0/0;-;0/0;-
4792;Lindskog, Anton;SGF, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4793;Richtzenhain, Justus Nicolas;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4794;Thiele, Joshua;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4795;Hald Jensen, Simon;SGF, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4796;Einarsson, Teitur Orn;SGF, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4797;Vignjevic, Marko;GWD, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4798;Mensing, Hans Aaron;SGF, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4799;Janke, Maximilian;GWD, CB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
4800;Rod, Magnus;SGF, RB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;0/0;-
4801;Rubin, Lenny;WET, LB;0/0;-;5/5;100%;4/6;66.67%;0/0;-;0/0;-;0/0;-
4802;Schmid, Andre;RNL, CB;4/5;80%;3/4;75%;0/2;0%;0/0;-;0/0;-;1/1;100%
4803;Nyfjall, Adam;WET, P;0/0;-;0/0;-;0/0;-;1/1;100%;4/5;80%;2/2;100%
4804;Groetzki, Patrick;RNL, RW;0/0;-;0/0;-;0/0;-;4/5;80%;0/0;-;1/1;100%
4805;Danner, Felix;WET, P;0/0;-;0/0;-;0/0;-;0/0;-;4/4;100%;0/0;-
4806;Kohlbacher, Jannik;RNL, P;0/0;-;0/0;-;0/0;-;0/0;-;3/4;75%;0/0;-
4807;Mellegard, Emil;WET, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;2/3;66.67%
4808;Fredriksen, Magnus;WET, CB;0/0;-;2/2;100%;0/0;-;0/0;-;0/0;-;0/0;-
4809;Lagergren, Albin;RNL, RB;0/0;-;2/3;66.67%;0/0;-;0/0;-;0/0;-;0/0;-
4810;Nilsson, Lukas;RNL, LB;0/0;-;2/3;66.67%;0/0;-;0/0;-;0/0;-;0/0;-
4811;Srsen, Ivan;WET, RB;0/0;-;1/2;50%;1/1;100%;0/0;-;0/0;-;0/0;-
4812;Zacharias, Lion;RNL, LW;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-;1/1;100%
4813;Knorr, Juri;RNL, CB;0/0;-;2/4;50%;0/1;0%;0/0;-;0/0;-;0/0;-
4814;Holst, Maximilian;WET, LW;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4815;Gislason, Ymir Orn;RNL, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
4816;Horzen, Kristjan;RNL, P;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
4817;Weissgerber, Lars;WET, RW;0/0;-;0/1;0%;0/0;-;1/2;50%;0/0;-;0/0;-
4818;Cavor, Stefan;WET, RB;0/0;-;1/1;100%;0/2;0%;0/0;-;0/0;-;0/0;-
4819;Vest Kirkelokke, Niclas;RNL, RB;0/0;-;1/2;50%;0/6;0%;0/0;-;0/0;-;0/1;0%
4820;Patrail, Mait;RNL, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4821;Mirkulovski, Filip;WET, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4822;Kusan, Tomislav;WET, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4823;Novak, Domen;WET, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4824;Klimpke, Ole;WET, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4825;More, David;RNL, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
4826;Michalski, Niklas;RNL, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
4827;Lindberg, Hans;BER, RW;5/5;100%;0/0;-;1/1;100%;3/4;75%;0/0;-;0/0;-
4828;Andersson, Lasse Bredekjaer;BER, LB;0/0;-;1/1;100%;6/10;60%;0/0;-;0/0;-;0/0;-
4829;Holm, Jacob Tandrup;BER, CB;0/0;-;6/7;85.71%;0/1;0%;0/0;-;0/0;-;0/0;-
4830;Heiny, Lutz;NLB, LB;0/0;-;3/3;100%;2/3;66.67%;0/0;-;0/0;-;0/0;-
4831;Drux, Paul;BER, LB;0/0;-;3/3;100%;1/1;100%;0/0;-;0/0;-;0/0;-
4832;Kontrec, Tin;NLB, P;0/0;-;0/0;-;0/0;-;0/0;-;4/4;100%;0/0;-
4833;Petreikis, Benas;NLB, CB;0/0;-;3/4;75%;1/2;50%;0/0;-;0/0;-;0/0;-
